BrandNormalized,EquipmentType,AttributeName,RuleModelRegex,RuleStartPos,RuleEndPos,Code,SupportN,MostCommonTons,MostCommonTonsN,PurityPct,UniqueTruthTonsN,TruthTonsValuesJson
CARRIER/ICP,Air Handling Unit,HVACExport_CoolingTonCode,"^(?=.{6,}$)(?:39M)",5,6,85,1,141.667,1,100.0,1,"{""141.667"": 1}"
CARRIER/ICP,Air Handling Unit,HVACExport_CoolingTonCode,"^(?=.{6,}$)(?:39M)",5,6,96,1,160,1,100.0,1,"{""160"": 1}"
CARRIER/ICP,Air Handling Unit,HVACExport_CoolingTonCode,"^(?=.{8,}$)(?:40RU)",7,8,16,1,15,1,100.0,1,"{""15"": 1}"
CARRIER/ICP,Air Handling Unit,HVACExport_CoolingTonCode,"^(?=.{8,}$)(?:40RU)",7,8,30,2,30,2,100.0,1,"{""30"": 2}"
CARRIER/ICP,Air Handling Unit,HVACExport_CoolingTonCode,"^(?=.{8,}$)(?:48|50)",6,8,028,1,25,1,100.0,1,"{""25"": 1}"
CARRIER/ICP,Air Handling Unit,HVACExport_CoolingTonCode,"^(?=.{8,}$)(?:48|50)",6,8,303,1,2.5,1,100.0,1,"{""2.5"": 1}"
CARRIER/ICP,Air Handling Unit,HVACExport_CoolingTonCode,"^(?=.{8,}$)(?:48|50)",6,8,603,2,5,2,100.0,1,"{""5"": 2}"
CARRIER/ICP,Chiller,HVACExport_CoolingCode,"^(?=.{8,}$)(?:30GX)",6,8,150,1,150,1,100.0,1,"{""150"": 1}"
CARRIER/ICP,Chiller,HVACExport_CoolingCode,^[A-Z0-9-]{15}$,7,9,106,1,210,1,100.0,1,"{""210"": 1}"
CARRIER/ICP,Chiller,HVACExport_CoolingCode,^[A-Z0-9-]{15}$,7,9,456,1,40,1,100.0,1,"{""40"": 1}"
CARRIER/ICP,Chiller,HVACExport_CoolingCode,^[A-Z0-9-]{16}$,7,9,006,1,500,1,100.0,1,"{""500"": 1}"
CARRIER/ICP,Chiller,HVACExport_CoolingCode,^[A-Z0-9-]{16}$,7,9,305,2,30,2,100.0,1,"{""30"": 2}"
CARRIER/ICP,Chiller,HVACExport_CoolingCode,^[A-Z0-9-]{16}$,7,9,406,2,40,2,100.0,1,"{""40"": 2}"
CARRIER/ICP,Chiller,HVACExport_CoolingCode,^[A-Z0-9-]{16}$,7,9,506,1,150,1,100.0,1,"{""150"": 1}"
CARRIER/ICP,Chiller,HVACExport_CoolingCode,^[A-Z0-9-]{16}$,7,9,906,2,190,2,100.0,1,"{""190"": 2}"
CARRIER/ICP,Chiller,HVACExport_CoolingTonCode,"^(?=.{8,}$)(?:30HXA|30HXC)",6,8,186,2,175,2,100.0,1,"{""175"": 2}"
CARRIER/ICP,Chiller,HVACExport_CoolingTonCode,"^(?=.{8,}$)(?:30MP)",6,8,030,2,30,2,100.0,1,"{""30"": 2}"
CARRIER/ICP,Chiller,HVACExport_CoolingTonCode,"^(?=.{8,}$)(?:30RB|30XA)",6,8,150,1,150,1,100.0,1,"{""150"": 1}"
CARRIER/ICP,Chiller,HVACExport_CoolingTonCode,"^(?=.{8,}$)(?:30RB|30XA)",6,8,190,2,190,2,100.0,1,"{""190"": 2}"
CARRIER/ICP,Chiller,HVACExport_CoolingTonCode,"^(?=.{8,}$)(?:30RB|30XA)",6,8,210,1,210,1,100.0,1,"{""210"": 1}"
CARRIER/ICP,Chiller,HVACExport_CoolingTonCode,"^(?=.{8,}$)(?:30RB|30XA)",6,8,500,1,500,1,100.0,1,"{""500"": 1}"
CARRIER/ICP,Cooling Condensing Unit,HVACExport_CFMTonsCode,^[A-Z0-9-]{11}$,9,10,37,1,4,1,100.0,1,"{""4"": 1}"
CARRIER/ICP,Cooling Condensing Unit,HVACExport_CFMTonsCode,^[A-Z0-9-]{11}$,9,10,50,1,3.5,1,100.0,1,"{""3.5"": 1}"
CARRIER/ICP,Cooling Condensing Unit,HVACExport_CFMTonsCode,^[A-Z0-9-]{11}$,9,10,62,30,5,30,100.0,1,"{""5"": 30}"
CARRIER/ICP,Cooling Condensing Unit,HVACExport_CoolingCode,"^(?=.{8,}$)(?:38BRC|38BRG|38CKB|38CKC|38CKN|38CMB|38EYA|38EYG|38EZA|38HDL|38TKB|38TRA|38TRO|38TUA|38TZA|38YDA|38YKB)",6,8,036,1,3,1,100.0,1,"{""3"": 1}"
CARRIER/ICP,Cooling Condensing Unit,HVACExport_CoolingCode,"^(?=.{8,}$)(?:38BRC|38BRG|38CKB|38CKC|38CKN|38CMB|38EYA|38EYG|38EZA|38HDL|38TKB|38TRA|38TRO|38TUA|38TZA|38YDA|38YKB)",6,8,042,1,3.5,1,100.0,1,"{""3.5"": 1}"
CARRIER/ICP,Cooling Condensing Unit,HVACExport_CoolingCode,"^(?=.{8,}$)(?:38BRC|38BRG|38CKB|38CKC|38CKN|38CMB|38EYA|38EYG|38EZA|38HDL|38TKB|38TRA|38TRO|38TUA|38TZA|38YDA|38YKB)",6,8,048,1,4,1,100.0,1,"{""4"": 1}"
CARRIER/ICP,Cooling Condensing Unit,HVACExport_CoolingCode,"^(?=.{8,}$)(?:38BRC|38BRG|38CKB|38CKC|38CKN|38CMB|38EYA|38EYG|38EZA|38HDL|38TKB|38TRA|38TRO|38TUA|38TZA|38YDA|38YKB)",6,8,060,30,5,30,100.0,1,"{""5"": 30}"
CARRIER/ICP,Cooling Condensing Unit,HVACExport_CoolingCode,"^(?=.{8,}$)(?:38|40|53)",7,8,08,3,7.5,3,100.0,1,"{""7.5"": 3}"
CARRIER/ICP,Cooling Condensing Unit,HVACExport_CoolingCode,"^(?=.{8,}$)(?:38|40|53)",7,8,14,1,12,1,100.0,1,"{""12"": 1}"
CARRIER/ICP,Cooling Condensing Unit,HVACExport_CoolingCode,"^(?=.{8,}$)(?:38|40|53)",7,8,16,3,15,3,100.0,1,"{""15"": 3}"
CARRIER/ICP,Cooling Condensing Unit,HVACExport_CoolingCode,"^(?=.{8,}$)(?:38|40|53)",7,8,18,1,1.5,1,100.0,1,"{""1.5"": 1}"
CARRIER/ICP,Cooling Condensing Unit,HVACExport_CoolingCode,"^(?=.{8,}$)(?:38|40|53)",7,8,24,1,20,1,100.0,1,"{""20"": 1}"
CARRIER/ICP,Cooling Condensing Unit,HVACExport_CoolingCode,"^(?=.{8,}$)(?:38|40|53)",7,8,60,1,50,1,100.0,1,"{""50"": 1}"
CARRIER/ICP,Cooling Condensing Unit,HVACExport_CoolingCode,"^(?=.{8,}$)(?:38|40|53)",7,8,94,1,90,1,100.0,1,"{""90"": 1}"
CARRIER/ICP,Cooling Condensing Unit,HVACExport_CoolingCode,^[A-Z0-9-]{12}$,5,6,36,1,3,1,100.0,1,"{""3"": 1}"
CARRIER/ICP,Cooling Condensing Unit,HVACExport_CoolingCode,^[A-Z0-9-]{12}$,5,6,48,1,4,1,100.0,1,"{""4"": 1}"
CARRIER/ICP,Cooling Condensing Unit,HVACExport_CoolingCode,^[A-Z0-9-]{12}$,5,6,60,1,5,1,100.0,1,"{""5"": 1}"
CARRIER/ICP,Cooling Condensing Unit,HVACExport_CoolingCode,^[A-Z0-9-]{15}$,7,9,360,1,3,1,100.0,1,"{""3"": 1}"
CARRIER/ICP,Cooling Condensing Unit,HVACExport_CoolingCode,^[A-Z0-9-]{16}$,7,9,060,1,5,1,100.0,1,"{""5"": 1}"
CARRIER/ICP,Ductless Split System,HVACExport_CoolingCode,"^(?=.{8,}$)(?:38|40|53)",7,8,12,3,1,3,100.0,1,"{""1"": 3}"
CARRIER/ICP,Ductless Split System,HVACExport_CoolingCode,"^(?=.{8,}$)(?:38|40|53)",7,8,18,6,1.5,6,100.0,1,"{""1.5"": 6}"
CARRIER/ICP,Ductless Split System,HVACExport_CoolingCode,"^(?=.{8,}$)(?:38|40|53)",7,8,27,3,25000,3,100.0,1,"{""25000"": 3}"
CARRIER/ICP,Heat Pump Condensing Unit,HVACExport_CoolingCode,^[A-Z0-9-]{12}$,5,6,30,2,2.5,2,100.0,1,"{""2.5"": 2}"
CARRIER/ICP,Heat Pump Condensing Unit,HVACExport_CoolingCode,^[A-Z0-9-]{12}$,5,6,36,2,3,2,100.0,1,"{""3"": 2}"
CARRIER/ICP,Packaged Unit,HVACExport_CFMTonsCode,^[A-Z0-9-]{10}$,8,9,30,3,2,3,100.0,1,"{""2"": 3}"
CARRIER/ICP,Packaged Unit,HVACExport_CFMTonsCode,^[A-Z0-9-]{10}$,8,9,51,9,10,9,100.0,1,"{""10"": 9}"
CARRIER/ICP,Packaged Unit,HVACExport_CFMTonsCode,^[A-Z0-9-]{11}$,9,10,50,1,5,1,100.0,1,"{""5"": 1}"
CARRIER/ICP,Packaged Unit,HVACExport_CFMTonsCode,^[A-Z0-9-]{11}$,9,10,61,1,3,1,100.0,1,"{""3"": 1}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingCode,"^(?=.{6,}$)(?:A|G|P)",4,6,180,1,15,1,100.0,1,"{""15"": 1}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingCode,"^(?=.{6,}$)(?:A|G|P)",4,6,354,1,3,1,100.0,1,"{""3"": 1}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingCode,"^(?=.{7,}$)(?:38|50)",5,7,006,1,5,1,100.0,1,"{""5"": 1}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingCode,"^(?=.{7,}$)(?:38|50)",5,7,012,9,10,9,100.0,1,"{""10"": 9}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingCode,"^(?=.{7,}$)(?:38|50)",5,7,124,3,2,3,100.0,1,"{""2"": 3}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingCode,"^(?=.{7,}$)(?:48SS|48SX)",5,7,036,1,3,1,100.0,1,"{""3"": 1}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingCode,"^(?=.{8,}$)(?:38|40|53)",7,8,07,2,6.25,2,100.0,1,"{""6.25"": 2}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingCode,"^(?=.{8,}$)(?:48ES|48EZ|48VG|48VL|48VR|48VT|48XL|50ES|50EZ|50VL|50XL|50XT)",7,8,24,1,2,1,100.0,1,"{""2"": 1}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingCode,"^(?=.{8,}$)(?:48ES|48EZ|48VG|48VL|48VR|48VT|48XL|50ES|50EZ|50VL|50XL|50XT)",7,8,60,1,5,1,100.0,1,"{""5"": 1}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingCode,^[A-Z0-9-]{13}$,6,8,017,1,15,1,100.0,1,"{""15"": 1}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingCode,^[A-Z0-9-]{16}$,7,9,036,4,3,4,100.0,1,"{""3"": 4}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingCode,^[A-Z0-9-]{16}$,7,9,286,1,25,1,100.0,1,"{""25"": 1}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingTonCode,"^(?=.{6,}$)(?:39M)",5,6,72,1,120,1,100.0,1,"{""120"": 1}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingTonCode,"^(?=.{8,}$)(?:48|50)",6,8,004,2,3,2,100.0,1,"{""3"": 2}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingTonCode,"^(?=.{8,}$)(?:48|50)",6,8,008,1,7.5,1,100.0,1,"{""7.5"": 1}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingTonCode,"^(?=.{8,}$)(?:48|50)",6,8,012,2,10,2,100.0,1,"{""10"": 2}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingTonCode,"^(?=.{8,}$)(?:48|50)",6,8,017,1,15,1,100.0,1,"{""15"": 1}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingTonCode,"^(?=.{8,}$)(?:48|50)",6,8,020,1,20,1,100.0,1,"{""20"": 1}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingTonCode,"^(?=.{8,}$)(?:48|50)",6,8,028,2,25,2,100.0,1,"{""25"": 2}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingTonCode,"^(?=.{8,}$)(?:48|50)",6,8,030,2,30,2,100.0,1,"{""30"": 2}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingTonCode,"^(?=.{8,}$)(?:48|50)",6,8,035,1,35,1,100.0,1,"{""35"": 1}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingTonCode,"^(?=.{8,}$)(?:48|50)",6,8,036,1,3,1,100.0,1,"{""3"": 1}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingTonCode,"^(?=.{8,}$)(?:48|50)",6,8,125,9,10,9,100.0,1,"{""10"": 9}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingTonCode,"^(?=.{8,}$)(?:48|50)",6,8,240,1,2,1,100.0,1,"{""2"": 1}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingTonCode,"^(?=.{8,}$)(?:48|50)",6,8,243,3,2,3,100.0,1,"{""2"": 3}"
CARRIER/ICP,Packaged Unit,HVACExport_CoolingTonCode,"^(?=.{8,}$)(?:48|50)",6,8,603,1,5,1,100.0,1,"{""5"": 1}"
CARRIER/ICP,WSHP,HVACExport_CoolingCode,"^(?=.{8,}$)(?:50PSD|50PSH|50PSV)",6,8,070,3,6,3,100.0,1,"{""6"": 3}"
CARRIER/ICP,WSHP,HVACExport_CoolingTonCode,"^(?=.{8,}$)(?:48|50)",6,8,070,3,6,3,100.0,1,"{""6"": 3}"
CLIMATEMASTER,WSHP,HVACExport_CoolingCode,"^(?=.{6,}$)(?:GC|GR|GS|TB|TC|TE|TS|TT|TZ)",4,6,036,9,3,9,100.0,1,"{""3"": 9}"
CLIMATEMASTER,WSHP,HVACExport_CoolingCode,"^(?=.{6,}$)(?:GC|GR|GS|TB|TC|TE|TS|TT|TZ)",4,6,060,36,5,36,100.0,1,"{""5"": 36}"
CONCORD,Packaged Unit,HVACExport_CoolingCode,"^(?=.{8,}$)(?:R)",7,8,36,1,3,1,100.0,1,"{""3"": 1}"
FUJITSU,Ductless Split System,HVACExport_CoolingCode,"^(?=.{5,}$)(?:A0U|ABU|AGU|AOU|AQU|ARU|ASU|AUU)",4,5,18,1,18000,1,100.0,1,"{""18000"": 1}"
GOODMAN/AMANA/DAIKIN,Air Handling Unit,HVACExport_CFMTonsCode,^[A-Z0-9-]{11}$,5,6,07,1,2.5,1,100.0,1,"{""2.5"": 1}"
GOODMAN/AMANA/DAIKIN,Air Handling Unit,HVACExport_CFMTonsCode,^[A-Z0-9-]{11}$,5,6,48,1,4,1,100.0,1,"{""4"": 1}"
GOODMAN/AMANA/DAIKIN,Air Handling Unit,HVACExport_CoolingCode,"^(?=.{5,}$)(?:B)",4,5,48,1,4,1,100.0,1,"{""4"": 1}"
GOODMAN/AMANA/DAIKIN,Air Handling Unit,HVACExport_CoolingCode,^[A-Z0-9-]{11}$,5,6,07,1,2.5,1,100.0,1,"{""2.5"": 1}"
GOODMAN/AMANA/DAIKIN,Air Handling Unit,HVACExport_CoolingCode,^[A-Z0-9-]{11}$,5,6,48,1,4,1,100.0,1,"{""4"": 1}"
GOODMAN/AMANA/DAIKIN,Air Handling Unit,HVACExport_CoolingTonCode,^[A-Z0-9-]{11}$,4,6,807,1,2.5,1,100.0,1,"{""2.5"": 1}"
GOODMAN/AMANA/DAIKIN,Chiller,HVACExport_CoolingCode,"^(?=.{6,}$)(?:A|S|V|Z)",5,6,41,1,241,1,100.0,1,"{""241"": 1}"
GOODMAN/AMANA/DAIKIN,Cooling Condensing Unit,HVACExport_CFMTonsCode,^[A-Z0-9-]{11}$,5,6,30,5,3,2,40.0,3,"{""10"": 1, ""3"": 2, ""5"": 2}"
GOODMAN/AMANA/DAIKIN,Cooling Condensing Unit,HVACExport_CFMTonsCode,^[A-Z0-9-]{11}$,5,6,40,3,1.5,1,33.3,3,"{""1.5"": 1, ""2"": 1, ""5"": 1}"
GOODMAN/AMANA/DAIKIN,Cooling Condensing Unit,HVACExport_CFMTonsCode,^[A-Z0-9-]{11}$,5,6,48,1,4,1,100.0,1,"{""4"": 1}"
GOODMAN/AMANA/DAIKIN,Cooling Condensing Unit,HVACExport_CFMTonsCode,^[A-Z0-9-]{8}$,5,6,30,1,2.5,1,100.0,1,"{""2.5"": 1}"
GOODMAN/AMANA/DAIKIN,Cooling Condensing Unit,HVACExport_CoolingCode,"^(?=.{6,}$)(?:A|S|V|Z)",5,6,00,1,100,1,100.0,1,"{""100"": 1}"
GOODMAN/AMANA/DAIKIN,Cooling Condensing Unit,HVACExport_CoolingCode,"^(?=.{6,}$)(?:A|S|V|Z)",5,6,30,1,3,1,100.0,1,"{""3"": 1}"
GOODMAN/AMANA/DAIKIN,Cooling Condensing Unit,HVACExport_CoolingCode,"^(?=.{6,}$)(?:A|S|V|Z)",5,6,40,3,1.5,1,33.3,3,"{""1.5"": 1, ""2"": 1, ""5"": 1}"
GOODMAN/AMANA/DAIKIN,Cooling Condensing Unit,HVACExport_CoolingCode,^[A-Z0-9-]{11}$,5,6,30,4,5,2,50.0,3,"{""10"": 1, ""3"": 1, ""5"": 2}"
GOODMAN/AMANA/DAIKIN,Cooling Condensing Unit,HVACExport_CoolingCode,^[A-Z0-9-]{11}$,5,6,48,1,4,1,100.0,1,"{""4"": 1}"
GOODMAN/AMANA/DAIKIN,Cooling Condensing Unit,HVACExport_CoolingTonCode,^[A-Z0-9-]{11}$,4,6,130,5,3,2,40.0,3,"{""10"": 1, ""3"": 2, ""5"": 2}"
GOODMAN/AMANA/DAIKIN,Cooling Condensing Unit,HVACExport_CoolingTonCode,^[A-Z0-9-]{11}$,4,6,140,3,1.5,1,33.3,3,"{""1.5"": 1, ""2"": 1, ""5"": 1}"
GOODMAN/AMANA/DAIKIN,Cooling Condensing Unit,HVACExport_TonsCFMCode,^[A-Z0-9-]{11}$,9,9,1,8,5,3,37.5,5,"{""1.5"": 1, ""10"": 1, ""2"": 1, ""3"": 2, ""5"": 3}"
GOODMAN/AMANA/DAIKIN,Cooling Condensing Unit,HVACExport_TonsCFMCode,^[A-Z0-9-]{11}$,9,9,3,1,4,1,100.0,1,"{""4"": 1}"
GOODMAN/AMANA/DAIKIN,Cooling Condensing Unit,HVACExport_TonsCFMCode,^[A-Z0-9-]{12}$,10,10,0,2,5,2,100.0,1,"{""5"": 2}"
GOODMAN/AMANA/DAIKIN,Cooling Condensing Unit,HVACExport_TonsCFMCode,^[A-Z0-9-]{12}$,10,10,1,2,2,2,100.0,1,"{""2"": 2}"
GOODMAN/AMANA/DAIKIN,Cooling Condensing Unit,HVACExport_TonsCFMCode,^[A-Z0-9-]{12}$,10,10,3,1,3,1,100.0,1,"{""3"": 1}"
GOODMAN/AMANA/DAIKIN,Cooling Condensing Unit,HVACExport_TonsCFMCode,^[A-Z0-9-]{8}$,8,8,0,1,2.5,1,100.0,1,"{""2.5"": 1}"
GOODMAN/AMANA/DAIKIN,Ductless Split System,HVACExport_CFMTonsCode,^[A-Z0-9-]{10}$,4,5,09,6,0.75,6,100.0,1,"{""0.75"": 6}"
GOODMAN/AMANA/DAIKIN,Ductless Split System,HVACExport_CFMTonsCode,^[A-Z0-9-]{10}$,4,5,12,6,1,6,100.0,1,"{""1"": 6}"
GOODMAN/AMANA/DAIKIN,Evaporator Coil,HVACExport_CoolingCode,"^(?=.{6,}$)(?:C|F|R)",5,6,36,1,3,1,100.0,1,"{""3"": 1}"
GOODMAN/AMANA/DAIKIN,Evaporator Coil,HVACExport_CoolingMaxCode,"^(?=.{8,}$)(?:C)",7,8,36,1,3,1,100.0,1,"{""3"": 1}"
GOODMAN/AMANA/DAIKIN,Evaporator Coil,HVACExport_CoolingMinCode,"^(?=.{6,}$)(?:C)",5,6,36,1,3,1,100.0,1,"{""3"": 1}"
GOODMAN/AMANA/DAIKIN,Evaporator Coil,HVACExport_TonsCFMCode,^[A-Z0-9-]{12}$,10,10,6,1,3,1,100.0,1,"{""3"": 1}"
GOODMAN/AMANA/DAIKIN,Heat Pump Condensing Unit,HVACExport_CFMTonsCode,^[A-Z0-9-]{11}$,5,6,30,1,4,1,100.0,1,"{""4"": 1}"
GOODMAN/AMANA/DAIKIN,Heat Pump Condensing Unit,HVACExport_CFMTonsCode,^[A-Z0-9-]{11}$,5,6,40,3,4,2,66.7,2,"{""4"": 2, ""5"": 1}"
GOODMAN/AMANA/DAIKIN,Heat Pump Condensing Unit,HVACExport_CoolingCode,^[A-Z0-9-]{11}$,5,6,30,1,4,1,100.0,1,"{""4"": 1}"
GOODMAN/AMANA/DAIKIN,Heat Pump Condensing Unit,HVACExport_CoolingCode,^[A-Z0-9-]{11}$,5,6,40,3,4,2,66.7,2,"{""4"": 2, ""5"": 1}"
GOODMAN/AMANA/DAIKIN,Heat Pump Condensing Unit,HVACExport_CoolingTonCode,^[A-Z0-9-]{11}$,4,6,130,1,4,1,100.0,1,"{""4"": 1}"
GOODMAN/AMANA/DAIKIN,Heat Pump Condensing Unit,HVACExport_CoolingTonCode,^[A-Z0-9-]{11}$,4,6,140,3,4,2,66.7,2,"{""4"": 2, ""5"": 1}"
GOODMAN/AMANA/DAIKIN,Heat Pump Condensing Unit,HVACExport_TonsCFMCode,^[A-Z0-9-]{11}$,9,9,1,3,4,2,66.7,2,"{""4"": 2, ""5"": 1}"
GOODMAN/AMANA/DAIKIN,Heat Pump Condensing Unit,HVACExport_TonsCFMCode,^[A-Z0-9-]{11}$,9,9,4,1,4,1,100.0,1,"{""4"": 1}"
GOODMAN/AMANA/DAIKIN,Heat Pump Condensing Unit,HVACExport_TonsCFMCode,^[A-Z0-9-]{12}$,10,10,4,2,3,2,100.0,1,"{""3"": 2}"
GOODMAN/AMANA/DAIKIN,Packaged Unit,HVACExport_CoolingCode,^[A-Z0-9-]{15}$,4,6,144,1,4,1,100.0,1,"{""4"": 1}"
GOODMAN/AMANA/DAIKIN,Packaged Unit,HVACExport_TonsCFMCode,^[A-Z0-9-]{11}$,9,9,0,1,3.5,1,100.0,1,"{""3.5"": 1}"
LENNOX,Cooling Condensing Unit,HVACExport_CoolingCode,^[A-Z0-9-]{11}$,4,6,551,1,4,1,100.0,1,"{""4"": 1}"
